CustomerID,gender,SeniorCitizen,Partner,Dependents,tenure_months,num_products,monthly_charges,total_charges,support_tickets_6mo,avg_response_time_hrs,login_frequency_weekly,feature_usage_score,payment_delay_days,nps_score,contract_type,payment_method,internet_service,plan_tier,referral_source,Churn
CUST-00051,Female,1,No,No,14,3,62.17,809.26,8,1.91,16,2.41,0,9.0,One-Year,Check,None,Standard,Social,0
CUST-00052,Male,0,Yes,No,26,4,75.86,1961.85,14,0.84,18,4.66,7,6.0,Month-to-Month,Bank Transfer,DSL,Premium,Organic,0
CUST-00053,Male,0,Yes,No,34,5,32.03,1130.94,4,0.73,8,8.18,18,4.0,Two-Year,Bank Transfer,None,Basic,Social,0
CUST-00054,Female,1,No,Yes,36,1,101.68,3754.66,11,4.2,2,48.77,13,6.0,Month-to-Month,Credit Card,DSL,Standard,Social,0
CUST-00055,Female,0,Yes,Yes,4,5,47.47,278.97,0,0.1,17,70.76,19,5.0,Month-to-Month,Check,DSL,Basic,Social,0
CUST-00056,Male,0,No,No,39,2,74.93,2882.36,10,10.12,12,13.38,12,3.0,Month-to-Month,Check,Fiber Optic,Standard,Organic,1
CUST-00057,Male,1,No,No,11,4,74.96,888.35,0,7.63,2,15.9,8,2.0,Month-to-Month,Credit Card,None,Premium,Referral,0
CUST-00058,Female,1,Yes,Yes,53,2,80.26,4256.93,0,0.68,15,,2,5.0,Month-to-Month,Check,DSL,Standard,Referral,0
CUST-00059,Female,1,No,No,49,1,25.55,1304.1,5,0.79,14,22.79,18,,Two-Year,Credit Card,DSL,Basic,Paid,0
CUST-00060,Female,1,No,No,66,5,36.86,2472.3,5,4.68,16,82.79,16,6.0,Month-to-Month,Check,DSL,Basic,Paid,0
CUST-00061,Male,0,Yes,No,53,2,36.12,1851.12,11,0.46,8,9.5,3,6.0,Month-to-Month,Check,DSL,Basic,Paid,0
CUST-00062,Male,1,Yes,No,27,1,50.21,1383.04,13,0.68,9,83.69,3,8.0,Month-to-Month,Check,Fiber Optic,Standard,Referral,0
CUST-00063,Male,1,Yes,Yes,69,1,34.49,2430.19,14,2.06,2,73.26,23,1.0,One-Year,Check,Fiber Optic,Standard,Social,0
CUST-00064,Female,1,No,Yes,30,5,112.19,3364.76,9,5.94,8,14.77,24,9.0,One-Year,Check,None,Basic,Paid,0
CUST-00065,Male,1,Yes,No,24,5,71.3,1698.77,2,4.11,11,33.79,10,3.0,Month-to-Month,PayPal,Fiber Optic,Standard,Paid,0
CUST-00066,Male,0,No,Yes,65,4,82.36,5274.66,10,0.61,17,33.31,29,3.0,Month-to-Month,Credit Card,Fiber Optic,Basic,Paid,0
CUST-00067,Female,0,Yes,Yes,27,4,55.75,1539.4,7,3.32,4,13.38,17,3.0,One-Year,Bank Transfer,DSL,Basic,Organic,0
CUST-00068,Female,1,No,Yes,6,4,47.62,296.19,7,12.84,0,37.71,16,8.0,One-Year,Credit Card,Fiber Optic,Basic,Paid,0
CUST-00069,Female,1,Yes,No,34,5,70.32,2344.69,7,3.76,5,67.78,29,6.0,One-Year,Credit Card,DSL,Standard,Social,0
CUST-00070,Male,0,Yes,Yes,57,1,49.43,2801.35,13,0.86,4,73.05,18,0.0,One-Year,Bank Transfer,DSL,Basic,Social,0
CUST-00071,Male,0,Yes,No,14,1,54.36,768.83,5,0.45,9,20.29,15,0.0,Two-Year,Credit Card,None,Basic,Paid,0
CUST-00072,Female,1,Yes,No,33,4,65.28,2126.15,14,21.41,14,72.18,3,7.0,Month-to-Month,Credit Card,DSL,Premium,Paid,0
CUST-00073,Female,0,Yes,No,10,5,70.57,705.87,8,1.73,7,26.67,15,6.0,Month-to-Month,Credit Card,DSL,Basic,Referral,1
CUST-00074,Male,1,No,Yes,49,3,118.43,5715.64,10,2.4,6,4.25,9,3.0,Two-Year,Check,DSL,Basic,Referral,0
CUST-00075,Male,0,Yes,Yes,34,5,42.33,1506.77,13,2.99,7,19.46,3,2.0,Month-to-Month,Bank Transfer,Fiber Optic,Standard,Organic,0
CUST-00076,Female,1,Yes,No,24,3,68.8,1651.94,12,15.64,19,34.22,15,8.0,Two-Year,Check,Fiber Optic,Basic,Paid,0
CUST-00077,Female,1,No,No,17,4,34.95,539.2,6,16.92,7,3.59,1,9.0,One-Year,Bank Transfer,DSL,Basic,Paid,0
CUST-00078,Male,1,No,No,41,3,55.0,2132.01,3,1.52,14,9.53,27,9.0,One-Year,PayPal,DSL,Premium,Paid,0
CUST-00079,Male,1,Yes,Yes,48,5,91.73,4454.55,2,9.95,0,35.62,27,9.0,Two-Year,Bank Transfer,Fiber Optic,Basic,Referral,1
CUST-00080,Male,1,No,No,67,4,37.45,2536.8,5,0.4,2,92.46,21,,One-Year,PayPal,DSL,Basic,Referral,0
CUST-00081,Male,1,Yes,No,32,3,78.14,2510.86,9,6.4,7,63.58,25,6.0,Month-to-Month,Check,Fiber Optic,Basic,Social,1
CUST-00082,Male,1,Yes,Yes,12,2,61.67,783.22,11,2.79,10,93.44,24,3.0,Month-to-Month,Bank Transfer,DSL,Standard,Paid,0
CUST-00083,Male,1,No,Yes,60,2,25.16,1552.52,0,9.92,7,3.72,24,3.0,Month-to-Month,Credit Card,DSL,Premium,Organic,0
CUST-00084,Male,0,No,No,45,1,113.31,5108.56,6,6.49,5,86.81,3,9.0,Month-to-Month,Bank Transfer,Fiber Optic,Basic,Referral,0
CUST-00085,Male,0,Yes,Yes,50,1,61.36,3055.3,14,3.75,11,13.57,29,2.0,Month-to-Month,Credit Card,DSL,Standard,Organic,0
CUST-00086,Male,0,Yes,No,7,3,98.39,667.89,12,0.4,5,23.69,7,7.0,Month-to-Month,PayPal,Fiber Optic,Premium,Social,0
CUST-00087,Female,0,No,Yes,23,1,61.63,1438.57,14,0.71,9,10.03,2,0.0,Month-to-Month,Bank Transfer,DSL,Basic,Social,0
CUST-00088,Female,1,No,No,55,3,113.74,6325.33,14,1.56,2,41.12,26,8.0,One-Year,Bank Transfer,DSL,Standard,Social,0
CUST-00089,Female,1,Yes,No,60,1,49.05,2937.68,1,0.42,3,20.25,22,4.0,Month-to-Month,Check,Fiber Optic,Basic,Referral,0
CUST-00090,Male,0,Yes,Yes,31,1,61.22,1971.74,10,3.15,18,73.94,17,1.0,Month-to-Month,PayPal,Fiber Optic,Basic,Social,0
CUST-00091,Female,1,No,No,58,4,95.89,5580.07,8,0.65,11,75.49,3,1.0,One-Year,Bank Transfer,DSL,Premium,Referral,0
CUST-00092,Female,0,Yes,No,60,1,54.37,3281.04,7,4.63,6,29.05,9,4.0,One-Year,Credit Card,DSL,Basic,Organic,0
CUST-00093,Male,1,Yes,No,28,2,56.44,1700.46,11,1.47,0,79.98,19,6.0,Month-to-Month,PayPal,DSL,Premium,Social,1
CUST-00094,Male,1,Yes,Yes,64,1,119.48,7729.5,14,2.83,15,16.37,21,9.0,Month-to-Month,Bank Transfer,Fiber Optic,Standard,Referral,0
CUST-00095,Male,0,No,No,21,1,75.56,1670.72,6,6.55,6,4.03,21,9.0,Month-to-Month,PayPal,DSL,Basic,Organic,0
CUST-00096,Female,1,Yes,Yes,18,2,88.94,1561.0,9,2.49,9,16.5,7,9.0,Two-Year,Credit Card,Fiber Optic,Standard,Referral,0
CUST-00097,Male,1,No,Yes,49,1,84.35,4242.57,7,6.42,12,24.58,20,0.0,Month-to-Month,Credit Card,None,Basic,Paid,0
CUST-00098,Male,0,Yes,Yes,46,1,102.79,4724.34,9,0.65,1,5.03,3,8.0,Two-Year,Check,DSL,Basic,Organic,0
CUST-00099,Female,1,Yes,Yes,10,4,106.18,1050.45,14,3.12,12,10.98,7,9.0,Two-Year,PayPal,DSL,Basic,Referral,0
CUST-00100,Female,1,Yes,Yes,60,1,76.33,4471.57,12,0.96,19,30.27,0,,One-Year,PayPal,Fiber Optic,Premium,Paid,0
CUST-00101,Male,1,No,Yes,15,5,49.46,758.15,3,0.9,3,85.24,26,4.0,Two-Year,Credit Card,Fiber Optic,Basic,Organic,0
CUST-00102,Female,1,No,No,58,3,22.28,1238.07,13,3.33,18,85.55,11,9.0,Month-to-Month,PayPal,Fiber Optic,Basic,Social,0
CUST-00103,Female,1,No,Yes,1,3,81.44,101.85,7,4.88,6,99.36,16,0.0,Month-to-Month,PayPal,DSL,Basic,Paid,0
CUST-00104,Female,1,No,Yes,57,5,102.55,5787.09,8,3.68,0,,0,0.0,One-Year,Check,DSL,Standard,Referral,0
CUST-00105,Male,0,No,Yes,56,4,65.05,3732.91,1,4.36,9,0.18,27,0.0,Month-to-Month,Check,Fiber Optic,Standard,Organic,0
CUST-00106,Female,1,No,Yes,56,3,36.47,2069.93,6,9.64,4,56.56,11,7.0,One-Year,Check,Fiber Optic,Standard,Referral,0
CUST-00107,Female,1,Yes,Yes,48,5,48.81,2456.79,4,7.99,8,60.32,13,0.0,Two-Year,Credit Card,DSL,Basic,Referral,0
CUST-00108,Male,1,Yes,Yes,34,3,71.0,2362.81,1,1.92,3,23.62,10,1.0,One-Year,Bank Transfer,Fiber Optic,Basic,Paid,0
CUST-00109,Female,1,Yes,Yes,51,4,103.67,5364.53,12,1.42,13,79.7,10,6.0,Month-to-Month,Credit Card,DSL,Standard,Social,0
CUST-00110,Male,0,Yes,No,20,5,37.18,653.37,1,3.8,7,95.6,9,6.0,Month-to-Month,Credit Card,DSL,Standard,Paid,0
CUST-00111,Male,1,Yes,No,56,4,81.21,4558.44,10,1.9,14,33.17,26,2.0,Month-to-Month,Check,Fiber Optic,Standard,Organic,0
CUST-00112,Female,1,Yes,No,40,3,95.34,3781.89,11,2.04,4,94.58,2,9.0,Month-to-Month,Bank Transfer,None,Standard,Social,1
CUST-00113,Female,0,No,Yes,33,4,113.6,3726.56,9,3.49,0,10.43,24,5.0,Two-Year,Check,Fiber Optic,Basic,Referral,0
CUST-00114,Female,1,Yes,No,36,4,31.67,1114.31,12,12.5,6,47.56,7,6.0,Month-to-Month,Check,Fiber Optic,Basic,Referral,0
CUST-00115,Male,0,Yes,Yes,41,5,112.64,4572.47,1,2.21,14,19.72,2,8.0,Two-Year,Bank Transfer,DSL,Premium,Organic,0
CUST-00116,Female,1,Yes,Yes,3,4,80.15,177.46,0,5.89,19,58.44,26,7.0,One-Year,PayPal,Fiber Optic,Basic,Organic,0
CUST-00117,Male,0,No,No,10,2,96.67,944.58,12,0.65,17,7.11,13,4.0,One-Year,Credit Card,Fiber Optic,Premium,Referral,0
CUST-00118,Female,0,No,No,18,1,25.38,462.6,2,6.85,0,50.44,27,6.0,One-Year,Credit Card,DSL,Standard,Referral,0
CUST-00119,Female,0,No,No,9,4,70.61,693.72,4,8.55,18,17.32,2,2.0,Month-to-Month,PayPal,Fiber Optic,Standard,Social,0
CUST-00120,Female,1,No,No,32,3,82.26,2647.18,10,7.03,7,41.75,2,7.0,One-Year,Check,None,Basic,Social,0
CUST-00121,Female,1,Yes,No,48,3,50.68,2491.13,8,3.14,1,68.81,26,9.0,Month-to-Month,PayPal,DSL,Premium,Social,0
CUST-00122,Female,1,No,Yes,47,5,63.17,2894.85,3,0.44,4,33.38,7,,Month-to-Month,Credit Card,None,Premium,Referral,0
CUST-00123,Male,0,No,No,34,1,75.43,2542.97,3,0.67,17,54.04,14,2.0,Two-Year,Bank Transfer,DSL,Standard,Organic,0
CUST-00124,Male,0,Yes,Yes,61,1,75.25,4626.09,12,0.39,11,97.15,4,,Month-to-Month,PayPal,DSL,Basic,Organic,0
CUST-00125,Male,1,Yes,No,41,4,24.19,1008.79,7,14.4,3,87.53,7,7.0,One-Year,PayPal,DSL,Basic,Organic,1
CUST-00126,Male,0,Yes,No,6,5,63.95,340.63,13,0.04,15,99.7,17,10.0,Month-to-Month,Credit Card,DSL,Standard,Paid,0
CUST-00127,Male,0,Yes,Yes,55,5,41.38,2322.7,8,,6,17.7,2,7.0,Month-to-Month,Credit Card,DSL,Basic,Referral,0
CUST-00128,Female,0,Yes,No,41,5,111.67,4551.89,9,1.24,2,49.41,23,7.0,Month-to-Month,Credit Card,Fiber Optic,Premium,Organic,0
CUST-00129,Male,0,Yes,No,46,5,117.66,5373.4,5,7.47,7,78.42,8,8.0,Month-to-Month,Check,Fiber Optic,Basic,Referral,0
CUST-00130,Male,0,Yes,No,41,4,49.96,2072.9,0,12.51,15,92.9,27,9.0,One-Year,Bank Transfer,DSL,Standard,Organic,0
CUST-00131,Male,1,No,Yes,40,5,37.52,1501.05,7,12.13,5,24.09,10,4.0,Month-to-Month,PayPal,Fiber Optic,Premium,Social,0
CUST-00132,Male,0,No,Yes,7,2,41.95,267.51,10,0.75,3,98.78,21,7.0,Month-to-Month,Credit Card,None,Standard,Organic,0
CUST-00133,Female,1,No,Yes,40,4,67.78,2683.17,6,0.91,5,44.14,29,10.0,Month-to-Month,Credit Card,Fiber Optic,Standard,Paid,1
CUST-00134,Female,0,Yes,Yes,57,1,107.45,6071.19,12,2.63,15,77.21,19,8.0,Month-to-Month,Credit Card,DSL,Basic,Organic,0
CUST-00135,Female,1,Yes,Yes,22,3,70.0,1520.29,10,0.82,3,51.84,29,1.0,One-Year,Bank Transfer,DSL,Basic,Social,0
CUST-00136,Female,1,Yes,Yes,43,2,25.54,1153.19,7,1.59,9,29.76,21,10.0,Month-to-Month,Credit Card,Fiber Optic,Premium,Paid,0
CUST-00137,Female,0,Yes,No,3,5,23.99,84.19,8,11.95,13,10.89,13,5.0,Month-to-Month,PayPal,DSL,Standard,Paid,0
CUST-00138,Male,1,Yes,No,25,3,42.74,1116.41,3,3.28,1,16.19,29,1.0,Month-to-Month,Bank Transfer,None,Premium,Referral,0
CUST-00139,Female,1,No,No,32,2,104.28,3362.67,13,1.63,11,64.74,27,7.0,Month-to-Month,Bank Transfer,None,Premium,Referral,0
CUST-00140,Female,0,No,Yes,70,3,82.15,5719.75,0,0.91,15,55.39,27,10.0,Month-to-Month,PayPal,Fiber Optic,Basic,Paid,0
CUST-00141,Female,1,Yes,Yes,16,1,76.3,1138.28,0,16.44,12,43.28,23,9.0,One-Year,Bank Transfer,Fiber Optic,Basic,Paid,0
CUST-00142,Male,0,No,Yes,20,1,51.9,991.6,11,5.65,3,62.61,2,1.0,Month-to-Month,Check,Fiber Optic,Basic,Paid,0
CUST-00143,Male,1,No,Yes,30,3,112.94,3354.71,0,2.55,10,50.74,23,7.0,Month-to-Month,Check,Fiber Optic,Basic,Organic,0
CUST-00144,Male,1,No,No,71,4,53.12,3733.94,7,3.31,18,14.13,6,1.0,One-Year,PayPal,Fiber Optic,Premium,Organic,0
CUST-00145,Male,0,Yes,No,61,3,103.49,6362.21,2,0.54,4,26.15,8,7.0,Month-to-Month,PayPal,Fiber Optic,Basic,Referral,0
CUST-00146,Male,0,No,Yes,3,1,109.59,377.3,10,4.18,3,,23,5.0,One-Year,PayPal,Fiber Optic,Premium,Social,1
CUST-00147,Female,0,No,No,17,4,68.33,1272.26,1,4.68,11,39.78,22,10.0,Two-Year,Credit Card,Fiber Optic,Basic,Referral,0
CUST-00148,Male,1,No,No,59,1,109.43,6418.12,3,2.29,8,90.25,2,0.0,One-Year,Bank Transfer,None,Standard,Social,0
CUST-00149,Female,1,No,Yes,5,5,47.68,318.27,7,0.52,13,94.19,29,4.0,Month-to-Month,PayPal,DSL,Basic,Paid,1
CUST-00150,Female,1,No,No,61,1,85.84,5316.01,5,1.38,12,53.41,20,8.0,Month-to-Month,Check,Fiber Optic,Standard,Organic,1
CUST-00151,Male,1,No,No,20,1,28.8,564.31,3,6.96,1,26.57,25,5.0,Month-to-Month,Bank Transfer,Fiber Optic,Basic,Organic,0
CUST-00152,Male,0,Yes,Yes,66,3,67.39,4471.64,0,1.94,14,79.89,27,5.0,Month-to-Month,PayPal,DSL,Basic,Social,0
CUST-00153,Female,0,Yes,No,21,5,41.73,938.43,0,10.0,19,18.18,16,7.0,One-Year,Credit Card,DSL,Basic,Referral,0
CUST-00154,Female,0,No,No,31,4,26.28,811.62,2,8.11,2,49.22,9,3.0,Month-to-Month,Credit Card,Fiber Optic,Standard,Organic,0
CUST-00155,Female,0,No,Yes,47,4,20.37,950.69,4,14.78,11,99.42,0,2.0,One-Year,Check,DSL,Standard,Paid,0
CUST-00156,Male,0,Yes,Yes,9,1,52.48,440.91,1,4.12,7,87.48,21,3.0,One-Year,Bank Transfer,DSL,Standard,Referral,0
CUST-00157,Male,0,No,Yes,40,5,78.95,3040.12,7,0.49,12,92.96,11,4.0,Month-to-Month,PayPal,DSL,Premium,Paid,0
CUST-00158,Female,0,Yes,Yes,36,1,65.52,2362.35,13,1.57,11,9.79,12,2.0,Month-to-Month,Bank Transfer,Fiber Optic,Basic,Paid,1
CUST-00159,Male,1,No,Yes,56,2,50.18,2774.41,10,10.39,11,46.21,19,7.0,Month-to-Month,Bank Transfer,DSL,Standard,Social,0
CUST-00160,Female,1,No,Yes,71,4,119.12,8403.75,4,8.92,2,76.91,12,3.0,One-Year,Check,Fiber Optic,Basic,Organic,0
CUST-00161,Male,0,Yes,No,48,4,113.95,5490.83,6,1.62,13,15.6,4,4.0,Month-to-Month,Bank Transfer,Fiber Optic,Standard,Referral,0
CUST-00162,Male,1,Yes,Yes,30,4,32.57,904.39,11,0.04,13,76.9,26,1.0,Month-to-Month,Credit Card,DSL,Basic,Organic,0
CUST-00163,Male,1,Yes,Yes,29,4,61.51,1824.12,14,8.54,13,34.18,12,9.0,Two-Year,Bank Transfer,DSL,Standard,Referral,0
CUST-00164,Male,1,No,Yes,30,5,84.88,2570.72,8,2.37,3,88.72,21,1.0,Month-to-Month,Check,DSL,Basic,Social,0
CUST-00165,Male,0,No,Yes,58,3,93.35,5394.24,2,6.51,15,41.76,21,6.0,One-Year,Check,Fiber Optic,Premium,Paid,0
CUST-00166,Female,1,Yes,No,23,5,56.64,1299.49,13,8.66,4,25.03,7,10.0,Month-to-Month,PayPal,DSL,Basic,Organic,0
CUST-00167,Male,0,Yes,Yes,12,1,94.63,1076.03,7,9.96,3,91.69,26,7.0,Month-to-Month,Check,DSL,Basic,Organic,0
CUST-00168,Female,1,Yes,No,24,1,32.42,815.48,0,1.06,6,71.28,29,10.0,Two-Year,Check,Fiber Optic,Standard,Organic,0
CUST-00169,Male,1,No,No,2,1,53.18,115.73,3,3.57,3,46.3,21,1.0,One-Year,PayPal,Fiber Optic,Premium,Organic,0
CUST-00170,Female,1,No,No,8,2,91.64,746.24,7,5.22,6,96.1,25,5.0,One-Year,Bank Transfer,DSL,Premium,Social,0
CUST-00171,Male,0,No,No,7,1,82.57,603.07,12,0.77,4,60.24,18,10.0,One-Year,Check,DSL,Basic,Paid,0
CUST-00172,Male,0,Yes,Yes,55,5,103.72,5672.54,12,5.97,1,58.7,9,0.0,One-Year,PayPal,None,Standard,Social,0
CUST-00173,Male,1,No,Yes,52,3,24.69,1207.7,2,0.48,19,36.12,6,10.0,Month-to-Month,PayPal,Fiber Optic,Basic,Referral,0
CUST-00174,Male,0,No,No,50,3,37.44,1919.82,10,0.86,13,83.47,28,1.0,Month-to-Month,Credit Card,DSL,Premium,Paid,0
CUST-00175,Male,0,Yes,No,33,4,24.85,854.47,14,9.14,7,58.53,20,7.0,Two-Year,Check,Fiber Optic,Basic,Referral,0
CUST-00176,Male,1,No,Yes,51,2,39.21,1973.01,11,9.83,7,62.16,14,8.0,One-Year,Credit Card,DSL,Basic,Organic,0
CUST-00177,Female,1,No,Yes,12,3,20.43,265.59,10,0.79,6,93.62,25,2.0,Two-Year,Check,Fiber Optic,Basic,Organic,0
CUST-00178,Female,0,Yes,Yes,64,1,70.42,4569.84,11,10.0,14,26.99,16,9.0,One-Year,PayPal,DSL,Basic,Organic,0
CUST-00179,Female,1,No,Yes,36,4,72.83,2678.87,8,1.67,4,79.09,13,5.0,One-Year,PayPal,Fiber Optic,Basic,Organic,0
